"id","profileName","text","date","title","rating","images","helpful"
"R39ALO1DCXZCE1","Harsha Verma","Book is in good condition.. But cost is high","Reviewed in India on 12 October 2017","Five Stars",5,"",0
"R3MY9KU3653KA3","NEO","Very good quality and a best book in such a cheap price thanks Amazon","Reviewed in India on 14 October 2016","Five Stars",5,"",0
"RZGV9F8IVY0SU","valeed","New and good quality as good as book is.","Reviewed in India on 7 October 2017","Five Stars",5,"",0
"R3NIZLAO7F0ZJ7","Akhilesh Gupta","Best book for Marketing.Good packaging by amazon","Reviewed in India on 1 January 2018","Five Stars",5,"",0
"R11C3BYR48CM6H","Amazon Customer","Very good","Reviewed in India on 23 December 2018","Very good",5,"",0
"R1W0ZIOWQBP6UY","Diwan Mahfuj khan","This is best marketing management book","Reviewed in India on 22 March 2018","Five Stars",5,"",0
"R32HALNY7CDZ1W","Amazon Customer","An amazing book by Philip Kotler. Book is updated with very good examples.","Reviewed in India on 24 November 2016","Five Stars",5,"",1
"R3S8W3QALICYL6","Sujay","Good product quality, no damage.","Reviewed in India on 10 May 2016","Four Stars",4,"",0
"R347L7ZEFTVIHF","Anony","Excellent quality of pages","Reviewed in India on 11 February 2018","I got what i wanted",5,"",0
"R3DIVJ2I218AWG","Nithya Gowri Gunaseelan","Amazing book by an amazing author","Reviewed in India on 16 September 2017","Five Stars",5,"",0
"R31NMLSPCKNN66","Tarang","There is no book better than this in marketing.","Reviewed in India on 21 April 2017","Five Stars",5,"","4"
"R1T8P4IH3FVKTI","Amazon Customer","Really nice; Glossy pages with color printing at low price","Reviewed in India on 23 November 2016","Five Stars",5,"",1
"R1OA08UFTUJL97","Dibakar Das","Awesome","Reviewed in India on 26 June 2018","Awesome book",5,"",0
"RHQ9C5ODMQWJZ","Vikram Kumar","Very good knowledgeable book as it gives marketing insights.","Reviewed in India on 11 November 2016","Good marketing insights",5,"",0
"R1H3AUXVMHLSZG","vinethbala","I got indian edition which that means i got less information and crappy book what is even the reason to buy this book  where information is manipulated. Never buying from this person.","Reviewed in India on 12 September 2017","indian edition :-(",2,"",0
"R1MQWULB2PRH21","Sanchit Jain","Good print and material at reasonable price","Reviewed in India on 10 February 2017","Awesome book",5,"",0
"R3SM5ZOJSJQUZX","Ann Vibina","Worth getting it","Reviewed in India on 20 January 2018","Worth it",5,"",0
